Name,Owner,URL,Description
P2-Unifacisa-1,dicyanevidal,https://github.com/dicyanevidal/P2-Unifacisa-1,Repositório da disciplina Programação 2 do curso de SI da UniFacisa.
loja_react_tap_2019.1,brunogamacatao,https://github.com/brunogamacatao/loja_react_tap_2019.1,"Loja feita em React para a disciplina de TAP da Unifacisa, período 2019.1"
unifacisa-map,daniel-abella,https://github.com/daniel-abella/unifacisa-map,Disciplina de Métodos Avançados de Programação (UniFacisa)
EspecializacaoUnifacisa2019,talitalobo,https://github.com/talitalobo/EspecializacaoUnifacisa2019,Material do Módulo de Machine Learning I - Especialização em Ciência de Dados
P2-Unifacisa,dicyanevidal,https://github.com/dicyanevidal/P2-Unifacisa,Repositório contendo conteúdo da disciplina de Programação II do curso de Sistemas de Informação - UNIFACISA.
unifacisa-deep-learning,DoglasProg,https://github.com/DoglasProg/unifacisa-deep-learning,
Unifacisa-Hackaton-Front,arthuralveso,https://github.com/arthuralveso/Unifacisa-Hackaton-Front,
unifacisaLojaTAP,Samuelmv13,https://github.com/Samuelmv13/unifacisaLojaTAP,
P3-Unifacisa,isaquecosta,https://github.com/isaquecosta/P3-Unifacisa,SI - Unifacisa
unifacisa_ouvidoria_3,emmily-lopes,https://github.com/emmily-lopes/unifacisa_ouvidoria_3,Ouvidoria Unifacisa.
Unifacisa,gustavolinodev,https://github.com/gustavolinodev/Unifacisa,Códigos do Curso de Sistema de Informação Unifacisa
Unifacisa,DjalmaFelipe,https://github.com/DjalmaFelipe/Unifacisa,
unifacisa,delgadoz,https://github.com/delgadoz/unifacisa,Projetos e Atividades 
unifacisa,humbertobrasileiro,https://github.com/humbertobrasileiro/unifacisa,
UnifacisaP2,thiagobarros19,https://github.com/thiagobarros19/UnifacisaP2,Repositório para guardar projetos da disciplina de programação 2 na Unifacisa
Arquitetura-de-Software,isaquecosta,https://github.com/isaquecosta/Arquitetura-de-Software,SI - Unifacisa
back_loja_react_tap_2019.1,brunogamacatao,https://github.com/brunogamacatao/back_loja_react_tap_2019.1,"Backend da Loja em React feita para a disciplina TAP da Unifacisa, período 2019.1"
Praticas-de-Programacao,isaquecosta,https://github.com/isaquecosta/Praticas-de-Programacao,SI - Unifacisa
ouvidoria,facisaRyan,https://github.com/facisaRyan/ouvidoria,ouvidoria unifacisa
tabd,adrianosantospb,https://github.com/adrianosantospb/tabd,Repositório da Disciplina de Ciência de Dados do curso de Sistemas de Informação - UNIFACISA
unifacisa,niverton-felipe,https://github.com/niverton-felipe/unifacisa,
UniFacisa,NicolasRamosAndrade,https://github.com/NicolasRamosAndrade/UniFacisa,
microservice_avaliacao,dicyanevidal,https://github.com/dicyanevidal/microservice_avaliacao,Segunda avaliação (UNIFACISA)
LTI.facisa,LeydsonTavares,https://github.com/LeydsonTavares/LTI.facisa,Projetos do LTI Unifacisa
Projetos_Unifacisa,FCabral07,https://github.com/FCabral07/Projetos_Unifacisa,
EstudosAngular,ramorim1998,https://github.com/ramorim1998/EstudosAngular,Treinamento da Unifacisa -LTI 
WS-with-Java-Spring,Palc3301,https://github.com/Palc3301/WS-with-Java-Spring,Activity from UNIFACISA
www-unifacisa,HeroisoHennrick7,https://github.com/HeroisoHennrick7/www-unifacisa,
unifacisa-lsi,daniel-abella,https://github.com/daniel-abella/unifacisa-lsi,Repositório da Disciplina de Laboratório de Sistemas de Informação (LSI) da Unifacisa
Unifacisa-PP,LucasMorais1,https://github.com/LucasMorais1/Unifacisa-PP,Repositório destinado para projetos da disciplina Práticas de Programação.
Unifacisa-PP,LucasMorais1,https://github.com/LucasMorais1/Unifacisa-PP,Repositório destinado para projetos da disciplina Práticas de Programação.
unifacisa-lsi,daniel-abella,https://github.com/daniel-abella/unifacisa-lsi,Repositório da Disciplina de Laboratório de Sistemas de Informação (LSI) da Unifacisa
poo-unifacisa,raquelsouto,https://github.com/raquelsouto/poo-unifacisa,Este é o meu repositório com alguns exercícios usando o Java que serão desenvolvidos na cadeira de Programação II da Unifacisa.
ProvaUnifacisa,pherivelton,https://github.com/pherivelton/ProvaUnifacisa,
Aulas-Unifacisa,SergioPinheiroCG,https://github.com/SergioPinheiroCG/Aulas-Unifacisa,Curso de Sistemas de Informação Unifacisa
unifacisa-mobile,daniel-abella,https://github.com/daniel-abella/unifacisa-mobile,Repositório da Disciplina de Dispositivos Móveis do Curso de Sistemas de Informação da UniFacisa
hackathon-unifacisa,ramorim1998,https://github.com/ramorim1998/hackathon-unifacisa,
POO-UNIFACISA,thayanenns,https://github.com/thayanenns/POO-UNIFACISA,Repositório da disciplina de P2
bigdata-unifacisa,eduardolfalcao,https://github.com/eduardolfalcao/bigdata-unifacisa,Repositório com alguns snippets de código que serão utilizados na Especialização em Big Data da UniFacisa.
Unifacisa-MAP,Lunasamueel,https://github.com/Lunasamueel/Unifacisa-MAP,Métodos Avançados de Programação
Unifacisa-P3,LucasMorais1,https://github.com/LucasMorais1/Unifacisa-P3,
Unifacisa2016.2-PW3-E2P2,emanuelgandrade,https://github.com/emanuelgandrade/Unifacisa2016.2-PW3-E2P2,Unifacisa 2016.2 - PW3 - E2P2 - NodeJS - AJAX
unifacisa-poo,darllinsonazvd,https://github.com/darllinsonazvd/unifacisa-poo,Java programs from Unifacisa's POO course.
WWW-UNIFACISA,felipemalheirosb,https://github.com/felipemalheirosb/WWW-UNIFACISA,Disciplina Programação para WWW
FarmaciaUnifacisa,thalesxbrasileiro,https://github.com/thalesxbrasileiro/FarmaciaUnifacisa,
BasqueteUnifacisa,ramorim1998,https://github.com/ramorim1998/BasqueteUnifacisa,Esse é um projeto com fins didáticos feito no treinamento de Front-End - LTI
phyton-unifacisa,gaabrielvictor,https://github.com/gaabrielvictor/phyton-unifacisa,
OuvidoriaUnifacisa,Palc3301,https://github.com/Palc3301/OuvidoriaUnifacisa,Just in Java
ouvidoria_unifacisa,Gustavokubo,https://github.com/Gustavokubo/ouvidoria_unifacisa,Projeto de ouvidoria desenvolvido no curso de Sistema de informação da Unifacisa. 
pp_gymApi,rafaeldoug,https://github.com/rafaeldoug/pp_gymApi,Projeto disciplina de PP. Unifacisa.
Atividade-Sistemas-Operacionais,italoFelipeDev,https://github.com/italoFelipeDev/Atividade-Sistemas-Operacionais,Atividade de sistemas operacionais- Unifacisa.
programacao-www,chenriquess,https://github.com/chenriquess/programacao-www,Disciplina Programação para Web - UNIFACISA
